step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
444,2023-07-03 08:22:25.644010327,2,193.79,165.0,-0.10782023640862362,0.05079643640860315,0.040000000000020464,0.0170238
446,2023-07-03 08:22:25.644010327,1,193.79,228.0,-0.21563562184876958,0.1586118218487491,0.040000000000020464,0.0170238
447,2023-07-03 08:22:30.077803363,2,193.77,216.0,-0.10216141820430386,0.025398218204301576,0.060000000000002274,0.0167632
448,2023-07-03 08:22:30.077803363,2,193.77,37.0,-0.08362036911273546,0.06719736911273545,0.0,0.016423
501,2023-07-03 08:27:49.011014958,1,193.78,244.0,-0.1084833092892793,0.07183700928926906,0.020000000000010232,0.0166463
502,2023-07-03 08:27:57.158847305,2,193.79,217.0,-0.07725513640862247,0.05079643640860315,0.010000000000019327,0.0164587
503,2023-07-03 08:28:02.822018900,2,193.79,27.0,-0.1009644601272424,0.08423636012724241,0.0,0.0167281
533,2023-07-03 08:31:34.440580231,1,193.77,69.0,-0.21632062322315443,0.17959252322317262,0.01999999999998181,0.0167281
539,2023-07-03 08:31:53.103271413,2,193.79,69.0,-0.04210721820430158,0.025398218204301576,0.0,0.016709
593,2023-07-03 08:36:21.258970275,1,193.83,83.0,-0.1033788424121921,0.056792142412190966,0.030000000000001137,0.0165867
595,2023-07-03 08:37:03.506707406,2,193.82,83.0,-0.05223261820429248,0.025398218204301576,0.009999999999990905,0.0168344
610,2023-07-03 08:38:32.024035309,1,193.79,120.0,-0.07182011820430272,0.025398218204301576,0.030000000000001137,0.0164219
615,2023-07-03 08:39:06.801180233,2,193.79,120.0,-0.09267405461290473,0.07619465461290473,0.0,0.0164794
670,2023-07-03 08:47:07.699332048,1,193.8,235.0,-0.2704454820430158,0.25398218204301576,0.0,0.0164633
671,2023-07-03 08:47:13.488305224,1,193.8,218.0,-0.04185151820430158,0.025398218204301576,0.0,0.0164533
672,2023-07-03 08:47:17.997852047,2,193.8,132.0,-0.04186421820430158,0.025398218204301576,0.0,0.016466
677,2023-07-03 08:47:49.817877973,2,193.78,65.0,-0.170341184824374,0.11358428482438193,0.03999999999999204,0.0167569
681,2023-07-03 08:48:11.320555171,2,193.8,195.0,-0.06039750435157111,0.04399100435157111,0.0,0.0164065
685,2023-07-03 08:48:44.098418644,2,193.79,61.0,-0.4056327464463464,0.35918504644634525,0.030000000000001137,0.0164477
693,2023-07-03 08:51:13.239748934,1,193.8,223.0,-0.2494106148764347,0.2327785148764347,0.0,0.0166321
697,2023-07-03 08:52:01.616803107,2,193.79,223.0,-0.1601635848243831,0.11358428482438193,0.030000000000001137,0.0165793
712,2023-07-03 08:53:47.537888507,1,193.8,121.0,-0.12689551803554586,0.08031621803554471,0.030000000000001137,0.0165793
716,2023-07-03 08:54:31.908834317,2,193.79,121.0,-0.24158516638366292,0.16459926638366065,0.060000000000002274,0.0169859
724,2023-07-03 08:55:27.681246455,1,193.79,218.0,-0.246527223223184,0.17959252322317262,0.05000000000001137,0.0169347
725,2023-07-03 08:55:27.681246455,2,193.78,218.0,-0.3104501820430078,0.25398218204301576,0.03999999999999204,0.016468
736,2023-07-03 08:56:09.195364308,1,193.77,232.0,-0.31042848204300777,0.25398218204301576,0.03999999999999204,0.0164463
741,2023-07-03 08:56:50.892676409,2,193.8,191.0,-0.23119208151059856,0.20476698151060765,0.009999999999990905,0.0164251
751,2023-07-03 08:57:39.253074375,2,193.76,41.0,-0.21483782549875285,0.19836642549875286,0.0,0.0164714
787,2023-07-03 09:01:14.526553712,1,193.72,240.0,-0.061827618204311804,0.025398218204301576,0.020000000000010232,0.0164294
788,2023-07-03 09:01:22.096342613,2,193.74,226.0,-0.07325804241219097,0.056792142412190966,0.0,0.0164659
791,2023-07-03 09:02:29.053558848,2,193.73,14.0,-0.041828618204301574,0.025398218204301576,0.0,0.0164304
797,2023-07-03 09:03:47.886680404,1,193.7,78.0,-0.062136318204311806,0.025398218204301576,0.020000000000010232,0.0167381
800,2023-07-03 09:04:21.063455469,1,193.7,96.0,-0.0933253424122012,0.056792142412190966,0.020000000000010232,0.0165332
805,2023-07-03 09:05:37.388016341,2,193.7,155.0,-0.06210401820431181,0.025398218204301576,0.020000000000010232,0.0167058
806,2023-07-03 09:05:37.388016341,1,193.7,92.0,-0.06210401820431181,0.025398218204301576,0.020000000000010232,0.0167058
808,2023-07-03 09:06:03.690550392,2,193.7,111.0,-0.21321113194905025,0.15656513194905822,0.03999999999999204,0.016646
817,2023-07-03 09:07:05.228225627,1,193.72,228.0,-0.12708991803554587,0.08031621803554471,0.030000000000001137,0.0167737
823,2023-07-03 09:08:08.473492163,2,193.7,115.0,-0.20830425751855314,0.18137955751853382,0.010000000000019327,0.0169247
825,2023-07-03 09:08:08.473492163,2,193.7,113.0,-0.0837168424122103,0.056792142412190966,0.010000000000019327,0.0169247
833,2023-07-03 09:08:08.473512361,1,193.7,79.0,-0.052342318204320906,0.025398218204301576,0.010000000000019327,0.0169441
837,2023-07-03 09:08:08.473667274,2,193.7,79.0,-0.19700672723659224,0.1703764272365729,0.010000000000019327,0.0166303
860,2023-07-03 09:09:42.644473884,1,193.79,232.0,-0.20606232322319196,0.17959252322317262,0.010000000000019327,0.0164698
861,2023-07-03 09:09:42.644502124,2,193.79,90.0,-0.0832926424122103,0.056792142412190966,0.010000000000019327,0.0165005
862,2023-07-03 09:09:42.661121595,2,193.8,142.0,-0.12687241803554586,0.08031621803554471,0.030000000000001137,0.0165562
887,2023-07-03 09:13:05.755173941,1,193.84,97.0,-0.05184551820429248,0.025398218204301576,0.009999999999990905,0.0164473
891,2023-07-03 09:14:16.440008338,1,193.81,220.0,-0.23647912322316467,0.17959252322317262,0.03999999999999204,0.0168866
893,2023-07-03 09:14:16.440008338,2,193.8,176.0,-0.14720281803552765,0.08031621803554471,0.04999999999998295,0.0168866
894,2023-07-03 09:14:16.440008338,2,193.8,89.0,-0.14720281803552765,0.08031621803554471,0.04999999999998295,0.0168866
895,2023-07-03 09:14:16.440008338,2,193.79,52.0,-0.26067331857853243,0.14367401857853812,0.09999999999999432,0.0169993
929,2023-07-03 09:20:04.486701584,1,193.71,170.0,-0.35557143419673004,0.21848373419672548,0.12000000000000455,0.0170877
931,2023-07-03 09:20:04.847335625,2,193.71,170.0,-0.1627428182043061,0.025398218204301576,0.12000000000000455,0.0173446
933,2023-07-03 09:20:04.847335625,1,193.68,139.0,-0.2032631046446402,0.03591850464463453,0.15000000000000568,0.0173446
941,2023-07-03 09:21:44.033948232,2,193.76,73.0,-0.11238240464463681,0.03591850464463453,0.060000000000002274,0.0164639
942,2023-07-03 09:21:52.408647989,1,193.75,212.0,-0.12239140464462771,0.03591850464463453,0.06999999999999318,0.0164729
943,2023-07-03 09:22:58.940963816,1,193.75,209.0,-0.08185331820429362,0.025398218204301576,0.03999999999999204,0.0164551
947,2023-07-03 09:24:27.124206383,2,193.73,213.0,-0.15353124241220348,0.056792142412190966,0.0800000000000125,0.0167391
949,2023-07-03 09:24:27.124206383,2,193.71,69.0,-0.1421373182042959,0.025398218204301576,0.09999999999999432,0.0167391
953,2023-07-03 09:25:35.847951307,2,193.7,162.0,-0.17194151820432546,0.025398218204301576,0.13000000000002387,0.0165433
955,2023-07-03 09:26:38.596613423,2,193.7,43.0,-0.10714131803553562,0.08031621803554471,0.009999999999990905,0.0168251
968,2023-07-03 09:29:06.206740589,1,193.74,73.0,-0.08730333640858497,0.05079643640860315,0.01999999999998181,0.0165069
971,2023-07-03 09:29:09.296451346,2,193.72,73.0,-0.09222401820431295,0.025398218204301576,0.05000000000001137,0.0168258
1015,2023-07-03 09:34:12.148663144,1,193.68,198.0,-0.11218391820429476,0.025398218204301576,0.06999999999999318,0.0167857
1017,2023-07-03 09:34:12.148663144,1,193.68,126.0,-0.11218391820429476,0.025398218204301576,0.06999999999999318,0.0167857
1020,2023-07-03 09:35:15.557345943,2,193.67,143.0,-0.16126113635884118,0.10471953635882071,0.040000000000020464,0.0165416
1023,2023-07-03 09:35:38.362654286,2,193.65,165.0,-0.05189121820429248,0.025398218204301576,0.009999999999990905,0.016493
1030,2023-07-03 09:37:28.763060469,2,193.65,16.0,-0.4671607169515837,0.4406426169515928,0.009999999999990905,0.0165181
1036,2023-07-03 09:37:28.763847951,1,193.62,223.0,-0.08275571820429362,0.025398218204301576,0.03999999999999204,0.0173575
1040,2023-07-03 09:37:57.888657884,2,193.62,80.0,-0.19066041147430968,0.17412141147430968,0.0,0.016539
1042,2023-07-03 09:38:25.342295404,2,193.62,94.0,-0.041860018204301574,0.025398218204301576,0.0,0.0164618
1048,2023-07-03 09:38:37.111008068,1,193.6,202.0,-0.29063708204302596,0.25398218204301576,0.020000000000010232,0.0166549
1054,2023-07-03 09:38:45.365175470,2,193.6,137.0,-0.1084114092892793,0.07183700928926906,0.020000000000010232,0.0165744
1060,2023-07-03 09:39:34.913724302,2,193.62,114.0,-0.09686391803554471,0.08031621803554471,0.0,0.0165477
1066,2023-07-03 09:39:38.477857038,1,193.62,163.0,-0.04185361820430157,0.025398218204301576,0.0,0.0164554
1068,2023-07-03 09:39:46.683559105,1,193.62,197.0,-0.041882218204301574,0.025398218204301576,0.0,0.016484
1077,2023-07-03 09:40:32.218075576,2,193.6,77.0,-0.08730053640861338,0.05079643640860315,0.020000000000010232,0.0165041
1081,2023-07-03 09:40:48.758479190,1,193.6,121.0,-0.09353374241220119,0.056792142412190966,0.020000000000010232,0.0167416
1083,2023-07-03 09:40:48.758479190,2,193.6,156.0,-0.15032588482439216,0.11358428482438193,0.020000000000010232,0.0167416
1084,2023-07-03 09:40:48.758513369,2,193.59,110.0,-0.07209411820430271,0.025398218204301576,0.030000000000001137,0.0166959
1087,2023-07-03 09:40:49.761934850,2,193.57,138.0,-0.10698951803556404,0.08031621803554471,0.010000000000019327,0.0166733
1094,2023-07-03 09:41:09.100383307,1,193.55,134.0,-0.2522066860920468,0.23553338609204677,0.0,0.0166733
1097,2023-07-03 09:41:17.895750669,2,193.53,134.0,-0.04184491820430158,0.025398218204301576,0.0,0.0164467
1125,2023-07-03 09:46:59.416789779,1,193.54,194.0,-0.14285795743823668,0.11638925743821735,0.010000000000019327,0.0164687
1126,2023-07-03 09:47:13.273616529,2,193.54,72.0,-0.16113863822549024,0.1343947382254709,0.010000000000019327,0.0167439
1137,2023-07-03 09:49:17.470261422,2,193.55,122.0,-0.09270575461290473,0.07619465461290473,0.0,0.0165111
1167,2023-07-03 09:56:56.936049119,1,193.58,66.0,-0.07235710464461634,0.03591850464463453,0.01999999999998181,0.0164386
1168,2023-07-03 09:56:57.270824821,2,193.58,66.0,-0.09256131820431295,0.025398218204301576,0.05000000000001137,0.0171631
1240,2023-07-03 10:04:57.609134588,1,193.56,85.0,-0.2237826182043084,0.025398218204301576,0.18000000000000682,0.0183844
1242,2023-07-03 10:04:57.609134588,1,193.53,170.0,-0.25378261820430953,0.025398218204301576,0.21000000000000796,0.0183844
1243,2023-07-03 10:04:57.609134588,2,193.53,138.0,-0.25378261820430953,0.025398218204301576,0.21000000000000796,0.0183844
1245,2023-07-03 10:04:57.609134588,2,193.53,53.0,-0.25378261820430953,0.025398218204301576,0.21000000000000796,0.0183844
1248,2023-07-03 10:04:57.609134588,2,193.52,64.0,-0.2951765424121898,0.056792142412190966,0.21999999999999886,0.0183844
1256,2023-07-03 10:05:00.755824002,1,193.51,107.0,-0.31147931147431424,0.17412141147430968,0.12000000000000455,0.0173579
1257,2023-07-03 10:05:00.755824002,2,193.5,107.0,-0.21744021803554925,0.08031621803554471,0.12000000000000455,0.017124
1283,2023-07-03 10:05:22.203782894,1,193.4,60.0,-0.35809783299709586,0.2214165329970913,0.12000000000000455,0.0166813
1284,2023-07-03 10:05:22.203782894,1,193.39,253.0,-0.17207951820432546,0.025398218204301576,0.13000000000002387,0.0166813
1285,2023-07-03 10:05:22.203782894,2,193.36,74.0,-0.29848687550016106,0.12180557550016448,0.1599999999999966,0.0166813
1295,2023-07-03 10:05:28.188405667,2,193.17,93.0,-0.4663752232231828,0.17959252322317262,0.27000000000001023,0.0167827
1299,2023-07-03 10:05:28.199085764,2,193.09,138.0,-0.442743454612899,0.07619465461290473,0.3499999999999943,0.0165488
1304,2023-07-03 10:05:28.199201667,2,193.0,8.0,-0.6369421232231703,0.17959252322317262,0.4399999999999977,0.0173496
1313,2023-07-03 10:05:28.199821099,1,193.0,176.0,-0.5082772364086009,0.05079643640860315,0.4399999999999977,0.0174808
1315,2023-07-03 10:05:28.199821099,1,193.0,121.0,-0.5558476761285998,0.09836687612860205,0.4399999999999977,0.0174808
1322,2023-07-03 10:05:29.067126585,2,193.0,194.0,-0.5604355820430078,0.25398218204301576,0.28999999999999204,0.0164534
1324,2023-07-03 10:05:29.068268492,2,193.0,54.0,-0.5603875820430078,0.25398218204301576,0.28999999999999204,0.0164054
1328,2023-07-03 10:05:40.299492638,1,193.21,227.0,-0.12185471820428566,0.025398218204301576,0.07999999999998408,0.0164565
1341,2023-07-03 10:06:10.223513857,1,193.34,116.0,-0.10682421803553561,0.08031621803554471,0.009999999999990905,0.016508
1343,2023-07-03 10:06:19.099789445,2,193.3,102.0,-0.09189581820428452,0.025398218204301576,0.04999999999998295,0.0164976
1345,2023-07-03 10:06:20.478089753,2,193.27,210.0,-0.3526631829896876,0.2862233829897046,0.04999999999998295,0.0164398
1354,2023-07-03 10:07:02.133224655,2,193.27,55.0,-0.07338174241219096,0.056792142412190966,0.0,0.0165896
1357,2023-07-03 10:07:04.983517203,1,193.25,166.0,-0.05198651820429248,0.025398218204301576,0.009999999999990905,0.0165883
1366,2023-07-03 10:08:48.878869394,1,193.32,112.0,-0.04187341820430157,0.025398218204301576,0.0,0.0164752
1372,2023-07-03 10:09:41.277594819,1,193.35,202.0,-0.423151114649961,0.34638551464995876,0.060000000000002274,0.0167656
1376,2023-07-03 10:09:49.421468443,1,193.37,199.0,-0.11384234241218301,0.056792142412190966,0.03999999999999204,0.0170502
1378,2023-07-03 10:09:49.421468443,1,193.35,83.0,-0.10244841820430385,0.025398218204301576,0.060000000000002274,0.0170502
1390,2023-07-03 10:10:02.900415749,1,193.37,228.0,-0.042202218204301575,0.025398218204301576,0.0,0.016804
1413,2023-07-03 10:11:04.983538815,2,193.42,76.0,-0.041927118204301575,0.025398218204301576,0.0,0.0165289
1415,2023-07-03 10:12:20.532396811,2,193.47,52.0,-0.08256310464463566,0.03591850464463453,0.030000000000001137,0.0166446
1423,2023-07-03 10:12:47.835332190,2,193.41,141.0,-0.11069526012723331,0.08423636012724241,0.009999999999990905,0.0164589
1426,2023-07-03 10:12:47.840833644,1,193.42,135.0,-0.11689411803555494,0.08031621803554471,0.020000000000010232,0.0165779
1431,2023-07-03 10:12:49.970897462,2,193.4,226.0,-0.12067276012722422,0.08423636012724241,0.01999999999998181,0.0164364
1438,2023-07-03 10:12:49.993422693,2,193.4,98.0,-0.12068346012722422,0.08423636012724241,0.01999999999998181,0.0164471
1443,2023-07-03 10:12:50.005758908,1,193.41,85.0,-0.11064176012723331,0.08423636012724241,0.009999999999990905,0.0164054
1448,2023-07-03 10:12:50.008532686,2,193.35,148.0,-0.132129418204305,0.025398218204301576,0.09000000000000341,0.0167312
1449,2023-07-03 10:12:50.008532686,2,193.35,100.0,-0.15072220435157452,0.04399100435157111,0.09000000000000341,0.0167312
1453,2023-07-03 10:13:26.591630795,2,193.36,246.0,-0.11240580464460838,0.03591850464463453,0.05999999999997385,0.0164873
1454,2023-07-03 10:14:07.199237250,2,193.35,148.0,-0.04201341820430157,0.025398218204301576,0.0,0.0166152
1483,2023-07-03 10:18:53.074844747,1,193.38,228.0,-0.18726191803554815,0.08031621803554471,0.09000000000000341,0.0169457
1484,2023-07-03 10:18:53.074844747,2,193.37,161.0,-0.2965382232231669,0.17959252322317262,0.09999999999999432,0.0169457
1486,2023-07-03 10:18:53.074878717,2,193.36,67.0,-0.0789625749764057,0.062212674976405695,0.0,0.0167499
1491,2023-07-03 10:19:38.426750504,1,193.4,162.0,-0.12257140464462771,0.03591850464463453,0.06999999999999318,0.0166529
1497,2023-07-03 10:21:47.069836829,2,193.47,162.0,-0.09192081820431294,0.025398218204301576,0.05000000000001137,0.0165226
1506,2023-07-03 10:22:37.259607851,1,193.47,112.0,-0.11368426911273659,0.06719736911273545,0.030000000000001137,0.0164869
1507,2023-07-03 10:23:35.239003274,1,193.49,209.0,-0.20642272322316352,0.17959252322317262,0.009999999999990905,0.0168302
1511,2023-07-03 10:23:35.239003274,2,193.5,203.0,-0.27106868204301576,0.25398218204301576,0.0,0.0170865
1513,2023-07-03 10:23:35.239003274,1,193.5,189.0,-0.10740271803553562,0.08031621803554471,0.009999999999990905,0.0170865
1515,2023-07-03 10:23:39.020350150,2,193.51,139.0,-0.12125193635882071,0.10471953635882071,0.0,0.0165324
1522,2023-07-03 10:23:47.434233113,2,193.55,113.0,-0.1173523364085861,0.05079643640860315,0.04999999999998295,0.0165559
1527,2023-07-03 10:24:38.567398017,2,193.5,55.0,-0.04184321820430158,0.025398218204301576,0.0,0.016445
1540,2023-07-03 10:25:52.988345718,1,193.43,226.0,-0.14349489102150786,0.12699109102150788,0.0,0.0165038
1542,2023-07-03 10:25:52.988355447,2,193.43,68.0,-0.2852083764509418,0.2687894764509418,0.0,0.0164189
1544,2023-07-03 10:25:52.988820450,2,193.47,158.0,-0.07227311820430271,0.025398218204301576,0.030000000000001137,0.0168749
1612,2023-07-03 10:39:34.885428281,1,193.45,194.0,-0.11248361820432318,0.025398218204301576,0.0700000000000216,0.0170854
1616,2023-07-03 10:39:34.885428281,1,193.4,234.0,-0.36566936383871873,0.22858396383871418,0.12000000000000455,0.0170854
1623,2023-07-03 10:40:28.180741271,1,193.47,241.0,-0.09184141820431295,0.025398218204301576,0.05000000000001137,0.0164432
1624,2023-07-03 10:42:02.668164376,2,193.45,230.0,-0.05193551820432091,0.025398218204301576,0.010000000000019327,0.0165373
1628,2023-07-03 10:42:47.380907632,2,193.46,182.0,-0.1413819499528114,0.12442534995281139,0.0,0.0169566
1629,2023-07-03 10:42:47.380907632,1,193.46,170.0,-0.10727281803553562,0.08031621803554471,0.009999999999990905,0.0169566
1633,2023-07-03 10:43:23.305117975,1,193.45,178.0,-0.06193291820431181,0.025398218204301576,0.020000000000010232,0.0165347
1635,2023-07-03 10:43:34.842202344,2,193.44,87.0,-0.04209731820430158,0.025398218204301576,0.0,0.0166991
1643,2023-07-03 10:45:24.627155847,2,193.46,148.0,-0.26044409056126056,0.21400919056125942,0.030000000000001137,0.0164349
1650,2023-07-03 10:45:48.451937747,2,193.44,173.0,-0.07248571820430272,0.025398218204301576,0.030000000000001137,0.0170875
1654,2023-07-03 10:45:48.451937747,2,193.41,197.0,-0.08308940464463567,0.03591850464463453,0.030000000000001137,0.0171709
1688,2023-07-03 10:51:47.005539065,1,193.41,83.0,-0.05191601820429248,0.025398218204301576,0.009999999999990905,0.0165178
1691,2023-07-03 10:53:00.407618019,1,193.39,199.0,-0.1032968424121921,0.056792142412190966,0.030000000000001137,0.0165047
1695,2023-07-03 10:53:23.131034122,2,193.39,223.0,-0.07188001820430272,0.025398218204301576,0.030000000000001137,0.0164818
1697,2023-07-03 10:54:28.047865333,2,193.4,59.0,-0.11845763640861452,0.05079643640860315,0.05000000000001137,0.0176612
1713,2023-07-03 10:55:38.967180527,1,193.35,188.0,-0.247253723223184,0.17959252322317262,0.05000000000001137,0.0176612
1726,2023-07-03 10:56:14.095301900,2,193.32,152.0,-0.1677167180355379,0.08031621803554471,0.06999999999999318,0.0174005
1736,2023-07-03 10:57:51.324904553,2,193.32,36.0,-0.3007991820430169,0.25398218204301576,0.030000000000001137,0.016817
1737,2023-07-03 10:57:51.340193639,1,193.31,184.0,-0.3006541820430169,0.25398218204301576,0.030000000000001137,0.016672
1767,2023-07-03 10:58:27.243338977,2,193.25,157.0,-0.11268841820429476,0.025398218204301576,0.06999999999999318,0.0172902
1781,2023-07-03 10:58:42.344719883,1,193.21,186.0,-0.23614252322316465,0.17959252322317262,0.03999999999999204,0.01655
1783,2023-07-03 10:59:04.389793322,1,193.22,190.0,-0.289370260245972,0.22286846024596063,0.05000000000001137,0.0165018
1788,2023-07-03 10:59:13.379374977,2,193.21,171.0,-0.14369366911273773,0.06719736911273545,0.060000000000002274,0.0164963
1789,2023-07-03 11:00:00.069615029,2,193.27,167.0,-0.041836618204301575,0.025398218204301576,0.0,0.0164384
1790,2023-07-03 11:00:00.070846836,2,193.29,65.0,-0.12150803075504071,0.09503143075502138,0.010000000000019327,0.0164766
1792,2023-07-03 11:00:00.075643857,1,193.29,163.0,-0.14001888482440125,0.11358428482438193,0.010000000000019327,0.0164346
1801,2023-07-03 11:00:00.143811946,2,193.23,163.0,-0.07327884241219096,0.056792142412190966,0.0,0.0164867
1827,2023-07-03 11:00:00.162747824,1,193.59,218.0,-0.430054837608419,0.413453037608419,0.0,0.0166018
1829,2023-07-03 11:00:00.163964300,1,193.46,73.0,-0.3171460360710758,0.16063243607108943,0.13999999999998636,0.0165136
1831,2023-07-03 11:00:00.168295523,2,193.46,221.0,-0.28749461023420764,0.12950601023422126,0.13999999999998636,0.0179886
1836,2023-07-03 11:00:00.448789643,1,193.44,180.0,-0.19627232322317262,0.17959252322317262,0.0,0.0166798
1850,2023-07-03 11:00:04.618750167,2,193.46,250.0,-0.12189271820431408,0.025398218204301576,0.0800000000000125,0.0164945
1857,2023-07-03 11:00:13.267697063,1,193.52,243.0,-0.09679321803554472,0.08031621803554471,0.0,0.016477
1858,2023-07-03 11:00:16.198271141,2,193.47,159.0,-0.131899218204305,0.025398218204301576,0.09000000000000341,0.016501
1859,2023-07-03 11:00:19.630999574,2,193.47,84.0,-0.24697012322318398,0.17959252322317262,0.05000000000001137,0.0173776
1871,2023-07-03 11:00:29.727036732,1,193.49,118.0,-0.22697012322317375,0.17959252322317262,0.030000000000001137,0.0173776
1878,2023-07-03 11:00:39.722287615,2,193.45,118.0,-0.08219831820429362,0.025398218204301576,0.03999999999999204,0.0168001
1905,2023-07-03 11:02:00.529242190,1,193.47,58.0,-0.22619482322317375,0.17959252322317262,0.030000000000001137,0.0166023
